stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
124,124,"E Madison St & 12th Ave","",47.6131287,-122.316254,1,,0,,America/Los_Angeles,1
12400,12400,"E Madison St & Lake Washington Blvd","",47.626152,-122.292099,1,,0,,America/Los_Angeles,1
12410,12410,"E Madison St & 33rd Ave E","",47.6281853,-122.289093,1,,0,,America/Los_Angeles,1
12420,12420,"E Madison St & 36th Ave E","",47.62994,-122.286514,1,,0,,America/Los_Angeles,1
12430,12430,"E Madison St & 38th Ave E","",47.631443,-122.284302,1,,0,,America/Los_Angeles,1
12440,12440,"E Madison St & 39th Ave E","",47.6324272,-122.282822,1,,0,,America/Los_Angeles,1
12450,12450,"E Madison St & 41st Ave E","",47.6343307,-122.280022,1,,0,,America/Los_Angeles,1
12460,12460,"43rd Ave E & E Blaine St","",47.6348839,-122.277046,1,,0,,America/Los_Angeles,1
12470,12470,"43rd Ave E & E Madison St","",47.636631,-122.277016,1,,0,,America/Los_Angeles,1
12479,12479,"Martin L King Jr Way S & S Irving St","",47.5900154,-122.29763,1,,0,,America/Los_Angeles,1
12480,12480,"43rd Ave E & E Lynn St","",47.6390877,-122.276993,1,,0,,America/Los_Angeles,1
12484,12484,"Martin L King Jr Way S & S Hill St","",47.584259,-122.298248,1,,0,,America/Los_Angeles,1
12485,12485,"S Walker St & 25th Ave S","",47.5837135,-122.299629,1,,0,,America/Los_Angeles,1
12486,12486,"Martin L King Jr Way S & S Bayview St","",47.5810013,-122.296921,1,,0,,America/Los_Angeles,1
12487,12487,"Martin L King Jr Way S & S Massachusetts St","",47.5879974,-122.298195,1,,0,,America/Los_Angeles,1
12496,12496,"S Plum St & 25th Ave S","",47.5854111,-122.300079,1,,0,,America/Los_Angeles,1
12497,12497,"Martin L King Jr Way S & S Massachusetts St","",47.5887337,-122.297821,1,,0,,America/Los_Angeles,1
125,125,"Madison St & Boylston Ave","",47.6105804,-122.322372,1,,0,,America/Los_Angeles,1
1250,1250,"Seneca St & 4th Ave","",47.6074219,-122.33461,21,,0,,America/Los_Angeles,1
12500,12500,"26th Ave S & S Norman St","",47.5931625,-122.298958,1,,0,,America/Los_Angeles,2
12520,12520,"S Dearborn St & 26th Ave S","",47.5956268,-122.299423,1,,0,,America/Los_Angeles,1
12532,12532,"23rd Ave S & S Lane St","",47.5967102,-122.302124,1,,0,,America/Los_Angeles,1
